,Name,Review_score,Review_number,Rank,Score
70,Arjen Kroos Men's Jockstrap Sexy Mesh Jock Strap Athletic Underwear,4.0 out of 5 stars,6,71,19
71,Canterbury Men's Thermoreg Long Sleeve Base Layer Top,4.5 out of 5 stars,"4,460",72,18
72,Tommy Hilfiger - Mens T-Shirts Multipack - Plain T Shirt For Men - Essential V Neck T-Shirt - Cotton/Elastane - Pack Of Three,4.4 out of 5 stars,724,73,17
73,HANERDUN Men Compression Shirt Slimming Body Shaper Vest Tummy Control Shapewear Abdomen Undershirt,4.4 out of 5 stars,"2,906",74,16
74,BOSS Mens Brief 3P CO/EL Three-Pack of Stretch-Cotton Briefs with Logo waistbands,3.5 out of 5 stars,"2,264",75,15
75,"Thread Linens 3 Pack Mens Thermals T Shirt, Body Warmer Base Layer Thermal Underwear Mens Thermal Top for Men Size S-XXL",4.6 out of 5 stars,569,76,14
76,"Amazon Essentials Men's Brief, Pack of 7",4.3 out of 5 stars,"1,003",77,13
77,Niksa 3 Pack Mens Sports Underwear Gym Running Boxers Shorts Trunks Black,4.3 out of 5 stars,"12,146",78,12
78,"Calvin Klein Men's 2 Pack Slim Fit Boxers, Boxer Shorts",4.6 out of 5 stars,"2,929",79,11
79,Junlan Men Tummy Control Shorts High Waist Slimming Body Shaper Compression Underwear Pants Seamless Girdle Boxer Briefs,4.4 out of 5 stars,"1,500",80,10
80,DAVID ARCHY Men's Vests Undershirts with Ultimate Soft Multiple Pack Short Sleeve Underwear Vests,3.6 out of 5 stars,64,81,9
81,Candid Styles庐 Pack of 2 Mens Thermal Trousers Long Johns Underwear Baselayer Winter Warm Ultra Soft Trousers Bottoms Pants,4.5 out of 5 stars,691,82,8
82,Orbiz Men鈥檚 Thermal Underwear Set - Full Long Sleeve Vest Top and Long Johns Bottoms Perfect Heat Micro Winter Underwear,4.3 out of 5 stars,66,83,7
83,"Sock Stack Mens Striped Slip Briefs Cotton Stretch Underwear Pants Comfort Fit Brief Trunk for Men, 6 Pairs",4.1 out of 5 stars,"1,450",84,6
84,"Sockstack 6 Pairs Men's White Y-Fronts Underpants, 100% Pure Cotton Trad Briefs Underwear, M L XL XXL",4.1 out of 5 stars,186,85,5
85,"TSLA 1 or 2 Pack Men's Thermal Long Sleeve Compression Shirts, Athletic Base Layer Top, Winter Gear Running T-Shirt",4.1 out of 5 stars,"1,591",86,4
86,Sloggi Men's Slip (Pack of 6),3.9 out of 5 stars,3,87,3
87,5Mayi Mens Boxers Multi Pack Mens Boxer Shorts for Men Sports Underwear for Men's Boxers,4.5 out of 5 stars,"4,181",88,2
88,AMZSPORT Men's Compression Tights Running Leggings Cool Dry Base Layer Training Trousers,4.5 out of 5 stars,671,89,1
