,Name,Review_score,Review_number,Rank,,,,,,,
35,"New Balance Men's 6"" Boxer Brief Fly Front with Pouch, 3-Pack of 6 Inch Tagless Underwear",4.6 out of 5 stars,"57,513",#36,,,,,,,
36,KANDOR Men's (5-Pack) Super Soft Bamboo Boxer Shorts Breathable Soft Trunk Underwear,4.5 out of 5 stars,144,#37,,,,,,,
37,BUYKUD Men's Long Sleeve Base Layer Compression Athletic Underwear Shirt Tights Top & Bottom Set,4.4 out of 5 stars,"1,136",#38,,,,,,,
38,"Heat Stoke閹煎瓨鍔欓弫?Pack of 2 mens Thermals Set Long Johns Trouser Warm Base Layer Black Charcoal White S,M,L,XL,XXL",4.2 out of 5 stars,895,#39,,,,,,,
39,wirarpa Mens Mirco Modal Underwear Trunks Soft Boxer Shorts Gents Microfibre Underpants Multipack,4.4 out of 5 stars,"15,703",#40,,,,,,,
40,Under Armour Men's Charged Cotton 6in 3pk Boxer Jock,4.7 out of 5 stars,"8,574",#41,,,,,,,
41,Calvin Klein Men's Hip Briefs (Pack of 3),4.7 out of 5 stars,"10,624",#42,,,,,,,
42,Keanu Mens Fitted 100% Cotton Vests Pack of 6,4.2 out of 5 stars,"3,015",#43,,,,,,,
43,"MEETYOO Men's Thermal Underwear Set, Wicking Long Johns Quick Dry Base Layer Sport Compression Suit for Workout Skiing Running Hiking",4.6 out of 5 stars,"5,414",#44,,,,,,,
44,Arcweg Men's Swimming Trunks Shorts Sport Boxer Swimwear Boxers Underwear Drawstring Summer Beach Board Shorts Elastic Swimsuit Bottom,4.3 out of 5 stars,"5,622",#45,,,,,,,
45,Sockstack 12 Pairs Mens Boxer Shorts Designer Black Fashion Band Underwear,3.9 out of 5 stars,"6,709",#46,,,,,,,
46,"DANISH ENDURANCE 3 Pack Men's Cotton Boxer Shorts, Stretchy Soft, Classic Fit Underwear, Trunks",4.2 out of 5 stars,"21,393",#47,,,,,,,
47,"DANISH ENDURANCE 6 Pack Bamboo Viscose Boxer Briefs, Breathable Men's Underwear",4.4 out of 5 stars,"2,535",#48,,,,,,,
48,"Fruit of the Loom Men's Slip Classic Underpants, Opaque (pack of 3)",4.4 out of 5 stars,"5,590",#49,,,,,,,
49,Pack of 3 Ultra Soft Mens Undershirts Vest 100% Cotton Singlet Vests Underwear Mens Vest Undershirt,4.2 out of 5 stars,"2,176",#50,,,,,,,
